SampleId,RunId,Barcode,CreatedDate,OverallResult,Assay.Name,Assay.Version,Assay.Classification,Comments
121021,1,EVLT01,12/10/2021 23:51:13,Invalid,,,Ruo,
123,2,EVRT01,12/10/2021 23:59:31,Unspecified,,,Ruo,"Run Aborted by User "
GINW_N4,3,NBSC20298,12/10/2021 23:43:26,Negative,,,Ruo,
DISC,4,EVRT123,12/10/2021 23:41:10,Invalid,,,Ruo,
CXL,5,NBSC20036,12/10/2021 23:42:53,Invalid,,,Ruo,
JHU_02,6,NBSC20287,12/10/2021 23:42:29,Invalid,,,Ruo,
1234,7,NBSC20289,12/11/2021 01:00:10,Invalid,,,Ruo,
123,8,NBSC20290,12/11/2021 02:01:28,Positive,,,Ruo,
1,9,NBSC21262,12/10/2021 23:40:27,Unspecified,,,Ruo,"Run Aborted by User "
TE99,10,,12/10/2021 23:45:12,Unspecified,,,Ruo,
N4_GINW,11,INSC20134,12/10/2021 23:40:45,Positive,,,Ruo,
N4_NTC,12,INSC20151,12/11/2021 00:21:30,Negative,,,Ruo,
GINW_100,13,INSC20131,12/10/2021 23:55:17,Positive,,,Ruo,
GINW_PAR,14,INSC20132,12/11/2021 00:42:12,Positive,,,Ruo,
5,15,,12/11/2021 01:31:12,Unspecified,,,Ruo,
UNFILLED,16,INSC20133,12/11/2021 01:32:56,Invalid,,,Ruo,
GINW_7650,17,INSC20165,12/10/2021 23:46:24,Positive,,,Ruo,
NTC_NW,18,INSC20187,12/11/2021 00:30:03,Negative,,,Ruo,
LOD_R1,19,INSC20184,12/11/2021 00:04:57,Negative,,,Ruo,
LOD_R2,20,INSC20171,12/11/2021 01:48:23,Negative,,,Ruo,
LOD_R3,21,INSC20182,12/11/2021 02:31:59,Positive,,,Ruo,
LOD2_R1,22,INSC20157,12/11/2021 04:28:00,Negative,,,Ruo,
LOD2_R2,23,INSC20162,12/11/2021 05:09:25,Negative,,,Ruo,
LOD2_R3,24,INSC20156,12/11/2021 05:50:48,Negative,,,Ruo,
LT,25,EVLT1234,12/10/2021 23:47:00,Invalid,,,Ruo,
1,26,EVRT1234,12/10/2021 23:58:03,Invalid,,,Ruo,
LOD3_R1,27,INSC20158,12/10/2021 23:42:59,Positive,,,Ruo,
LOD3_R2,28,INSC20159,12/11/2021 00:24:38,Positive,,,Ruo,
LOD3_R3,29,INSC20161,12/11/2021 01:09:42,Positive,,,Ruo,
LOD3_R4,30,INSC20163,12/11/2021 01:55:24,Positive,,,Ruo,
LOD3_R5,31,INSC20166,12/11/2021 03:02:27,Negative,,,Ruo,
LOD3_R6,32,INSC20167,12/11/2021 03:47:32,Positive,,,Ruo,
LOD3_R7,33,INSC20168,12/11/2021 04:32:15,Positive,,,Ruo,
LOD3_R8,34,INSC20155,12/11/2021 05:12:06,Positive,,,Ruo,
LOD3_R10,35,INSC20164,12/11/2021 06:02:48,Positive,,,Ruo,
LOD_R12,36,INSC20170,12/11/2021 06:47:23,Positive,,,Ruo,
LOD_R14,37,INSC20172,12/11/2021 07:27:55,Positive,,,Ruo,
LOD_R16,38,INSC20175,12/11/2021 08:07:35,Positive,,,Ruo,
LOD_R18,39,INSC20177,12/11/2021 08:48:07,Positive,,,Ruo,
LOD_R20,40,INSC20179,12/11/2021 09:27:49,Positive,,,Ruo,

SampleId,RunId,LysisType,LysisReadings
121021,1,Time,2508,5701,6857,8413,10405,12408,14405,16406,18406,20404,22403,24403,26411,28405,30410,32404,34407,36406,38406,40404,42404,44412,46406,48411,50405,52409,54403,56408,58405,60417,62406,64405,66408,68402,70402,72406,74407,76406,78601,80405,82405,84403,86405,88404,90404,92804,94792,96796,98792,100796,102790,104795,106791,108793,110787,112793,115056,116791,118795,120791,122797,124791,126798,128792,130794,132792,134793,136789,138418,140791,142791,144796,146788,148794,150791,152794,154790,156792,158789,160791,162785,164789,166796,168787,170795,172789,174793,176788,178792,180788,182790,184786,186789,188796,190790,192795,194788,196793,199206,200844,202788,204790,206785,208790,210785,212787,214795,216786,218793,220785,222793,224790,226791,228790,230789,232797,234788,236788,238790,240795,243270,244910,246794,248792,250787,252795,254795,256788,258794,260788,262793,264793,266792,268788,270791,272788,274789,276789,278789,280788,282789,284792,286788,288792,290789,292791,294787,296791,298789,300789,302788,304796,306794,308784,310792,312785,314791,316785,318789,320797,322788,324795,326786,328794,330785,332792,334785,336791,338784,340789,342784,344788,346795,348787,350794,352785,354792,356784,358791,360785,362789,364798,366789,368794,370789,372795,374788,376793,378787,380793,382788,384791,386791,388789,390788
121021,1,Temp,31.17,36.37,38.2,40.6,43.59,46.5,49.33,52.07,54.74,57.33,59.85,62.31,64.72,67.03,69.31,70.87,70.31,70.46,70.97,71.72,72.63,73.66,74.76,75.92,77.1,78.32,79.54,80.76,82,83.2,84.42,85.64,86.87,88.06,89.25,90.41,91.58,92.73,93.97,94.96,96.06,97.17,98.24,99.31,100.37,101.88,101.11,102.04,102.95,103.91,104.79,105.66,106.51,107.37,108.22,109.03,109.71,110.07,110.4,110.58,110.68,110.75,110.75,110.69,110.58,110.44,110.31,110.15,109.97,109.79,109.55,109.34,109.13,108.89,108.68,108.42,108.22,107.97,107.75,107.5,107.29,107.06,106.85,106.65,106.44,106.21,106.02,105.83,105.61,105.43,105.24,105.07,104.92,104.74,104.58,104.43,104.28,104.13,103.95,103.88,103.71,103.62,103.49,103.39,103.27,103.16,103.06,102.98,102.88,102.79,102.68,102.62,102.57,102.5,102.4,102.35,102.28,102.22,102.17,102.1,102.02,102.04,101.95,101.91,101.85,101.82,101.78,101.74,101.7,101.69,101.63,101.61,101.58,101.55,101.53,101.5,101.46,101.46,101.41,101.41,101.38,101.34,101.35,101.33,101.33,101.26,101.29,101.26,101.26,101.25,101.23,101.22,101.22,101.19,101.19,101.15,101.15,101.15,101.13,101.14,101.1,101.13,101.11,101.1,101.09,101.1,101.07,101.11,101.09,101.09,101.07,101.07,101.06,101.07,101.07,101.07,101.05,101.06,101.06,101.05,101.02,101.03,101.02,101.05,101.05,101.06,101.05,101.06,101.05,101.06,101.06,101.06,101.06,101.06,101.03
123,2,Time
123,2,Temp
GINW_N4,3,Time,2473,5890,7071,8452,10406,12400,14405,16403,18403,20401,22402,24398,26400,28397,30401,32398,34398,36405,38403,40403,42399,44402,46400,48400,50397,52399,54398,56397,58397,60417,62407,64403,66402,68403,70402,72410,74402,76405,78403,80404,82402,84402,86404,88407,90901,92399,94399,96397,98397,100398,102404,104398,106402,108397,110402,112397,114398,116399,118398,120405,122398,124400,126398,128403,130405,132404,134410,136406,138407,140398,142406,144404,146407,149361,150985,152404,154404,156408,158406,160407,162398,164405,166413,168403,170869,172406,174408,176405,178409,180405,182407,184405,186400,188400,191401,193021,194405,196402,198403,200404,202401,204401,206402,208400,210402,212405,214400,216404,218403,220403,222410,224401,226402,228400,230408,232400,234405,236400,238404,240402,242403,244403,246400,248402,250400,252399,254401,256398,258401,260403,262399,264406,266400,268401,270407,272401,274400,276399,278398,280402,282397,284400,286401,288399,290403,292402,294400,296398,298399,300403,302402,304397,306399,308403,310402,312400,314400,316400,318405,320405,322399,324399,326398,328399,330403,332402,334402,336402,338401,340401,342401,344400,346400,348405,350400,352403,354404,356402,358402,360401,362401,364401,366400,368401,370403,372399,374403,376402,378402,380403,382400,384401,386400,388400,390401,392398,394399,396401,398399,400399,402400
GINW_N4,3,Temp,25.62,31.03,32.76,34.7,37.31,39.83,42.23,44.52,46.72,48.83,50.87,52.83,54.73,56.55,58.32,60.03,61.69,63.3,64.87,66.39,67.87,69.32,70.71,72.08,73.4,74.7,75.98,77.24,78.46,79.65,80.83,81.98,83.14,84.25,85.35,86.43,87.48,88.54,89.55,90.58,91.53,92.51,93.46,94.41,95.55,96.23,97.16,98,98.87,99.73,100.59,102,101.33,102.04,102.76,103.45,104.17,104.83,105.5,106.19,106.62,107.35,108.08,108.77,109.18,109.48,109.66,109.79,109.8,109.8,109.82,109.7,109.63,109.43,109.34,109.15,109.03,108.85,108.63,108.46,108.25,108.1,107.87,107.67,107.5,107.24,107.06,106.91,106.75,106.48,106.35,106.17,106.03,105.81,105.55,105.49,105.33,105.15,105.03,104.89,104.73,104.59,104.47,104.32,104.19,104.09,103.95,103.84,103.74,103.63,103.47,103.4,103.35,103.26,103.16,103.07,102.99,102.93,102.83,102.75,102.68,102.62,102.53,102.48,102.43,102.37,102.3,102.25,102.22,102.13,102.13,102.07,102.03,101.97,101.95,101.91,101.87,101.82,101.8,101.8,101.73,101.69,101.66,101.61,101.61,101.58,101.55,101.53,101.51,101.5,101.47,101.45,101.43,101.41,101.38,101.38,101.35,101.34,101.33,101.31,101.31,101.3,101.29,101.27,101.27,101.26,101.22,101.22,101.21,101.21,101.19,101.19,101.14,101.17,101.18,101.15,101.15,101.13,101.13,101.11,101.13,101.11,101.13,101.11,101.11,101.1,101.1,101.09,101.1,101.09,101.09,101.09,101.06,101.07,101.09,101.07,101.09,101.09,101.1,101.09,101.07
DISC,4,Time
DISC,4,Temp
